rxn_id,kind,pred_pair,fba_flux,growth,composite
ATPM(ko)+NTP1(down),ko+down,0.9962050053719698,15.593076124389201,0.9954369223325875,0.9679543241075838
ATPM(ko)+PGL(ko),ko+ko,0.9955555555555555,15.605611560899371,0.9882171933004004,0.9675078898340788
ATPM(ko)+SUCDi(ko),ko+ko,0.9961111111111112,15.634744409155015,0.9714382586242605,0.9664703589961615
NTP1(down)+SUCDi(ko),down+ko,0.9956494498164142,15.43534949402798,0.9566911236138324,0.9537845943957639
ATPM(ko)+ATPS4rpp(ko),ko+ko,0.9983333333333333,16.39930743372962,0.436881738391968,0.9248563215740782
ATPM(ko)+O2tex(ko),ko+ko,0.9972222222222222,16.801907336666126,0.2763175710493988,0.9214068838349164
ATPM(ko)+O2tpp(ko),ko+ko,0.9977777777777779,16.801907336665884,0.2763175710493997,0.921406883834904
ATPS4rpp(ko)+NTP1(down),ko+down,0.9978716720386365,16.38361197332735,0.4024773014907211,0.9187817334033813
ATPS4rpp(ko)+SUCDi(ko),ko+ko,0.9977777777777778,16.383611973327287,0.4024773014907233,0.9187817334033783
ATPS4rpp(ko)+GND(ko),ko+ko,0.9961111111111112,16.375441602605505,0.4024773014907218,0.9183541916751147
ATPS4rpp(ko)+PGL(ko),ko+ko,0.9972222222222222,16.37544160260544,0.40247730149071714,0.9183541916751106
ATPS4rpp(ko)+G6PDH2r(ko),ko+ko,0.9966666666666666,16.375441602605743,0.40247730149053373,0.9183541916750985
GND(ko)+O2tpp(ko),ko+ko,0.9955555555555555,15.950068242843392,0.2415015570972031,0.8715154643028968
G6PDH2r(ko)+O2tex(ko),ko+ko,0.9955555555555555,15.950068242843454,0.24150155709717952,0.8715154643028966
G6PDH2r(ko)+O2tpp(ko),ko+ko,0.9961111111111112,15.950068242843408,0.24150155709717855,0.8715154643028941
O2tpp(ko)+PGL(ko),ko+ko,0.9966666666666667,15.950068242843408,0.24150155709717416,0.8715154643028934
O2tpp(ko)+SUCDi(ko),ko+ko,0.9972222222222222,15.950068242843313,0.24150155709717644,0.8715154643028888
O2tex(ko)+SUCDi(ko),ko+ko,0.9966666666666666,15.95006824284327,0.2415015570971714,0.8715154643028857
O2tex(ko)+PGL(ko),ko+ko,0.9961111111111112,15.950068242843193,0.24150155709718346,0.8715154643028835
O2tex(ko)+O2tpp(ko),ko+ko,0.9983333333333333,15.950068242842912,0.2415015570971881,0.8715154643028695
NTP1(down)+O2tpp(ko),down+ko,0.9973161164830809,15.950068242839881,0.24150155709781815,0.8715154643028071
NTP1(down)+O2tex(ko),down+ko,0.9967605609275254,15.950068242836258,0.24150155709896962,0.8715154643027934
ATPS4rpp(ko)+RPI(ko),ko+ko,0.9955555555555555,15.908599783583439,0.22014602844645173,0.8660846782339048
ATPS4rpp(ko)+O2tex(ko),ko+ko,0.9988888888888889,14.400165661582697,0.1625314711005744,0.7783535997692023
ATPS4rpp(ko)+O2tpp(ko),ko+ko,0.9994444444444445,14.40016566158268,0.1625314711005715,0.7783535997692009
